# Graph
Day	All Visits	Unique Visitors
Saturday, March 17, 2012	4	1
Saturday, March 17, 2012	4	1
Monday, March 19, 2012	9	1
Tuesday, March 20, 2012	14	1
Wednesday, March 21, 2012	8	1
Thursday, March 22, 2012	1	1
Wednesday, March 28, 2012	2	1
Saturday, March 31, 2012	27	1
